split,policy,attack_scope,configuration,method,model,top_fraction,top_n,positives_in_top,precision_at_top,recall_at_top,lift_at_top
estresse_pre_dencun_2024,strict,all,c_completa,AE,AE:c_completa,0.1,42,29,0.6904761904761905,0.10820895522388059,1.0640547263681592
estresse_pre_dencun_2024,strict,insertion,c_completa,AE,AE:c_completa,0.01,4,3,0.75,0.012145748987854251,1.126518218623482
estresse_pre_dencun_2024,strict,insertion,c_completa,AE,AE:c_completa,0.05,19,16,0.8421052631578947,0.06477732793522267,1.2648625612614532
estresse_pre_dencun_2024,strict,insertion,c_completa,AE,AE:c_completa,0.1,38,27,0.7105263157894737,0.10931174089068826,1.0672277860643513
estresse_pre_dencun_2024,strict,displacement,c_completa,AE,AE:c_completa,0.01,1,0,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,displacement,c_completa,AE,AE:c_completa,0.05,3,2,0.6666666666666666,0.09523809523809523,1.3333333333333333
estresse_pre_dencun_2024,strict,displacement,c_completa,AE,AE:c_completa,0.1,5,2,0.4,0.09523809523809523,0.8
estresse_pre_dencun_2024,sensitivity,all,c_completa,AE,AE:c_completa,0.01,12,2,0.16666666666666666,0.0032679738562091504,0.29983660130718953
estresse_pre_dencun_2024,sensitivity,all,c_completa,AE,AE:c_completa,0.05,56,25,0.44642857142857145,0.04084967320261438,0.8031337535014006
estresse_pre_dencun_2024,sensitivity,all,c_completa,AE,AE:c_completa,0.1,111,43,0.38738738738738737,0.07026143790849673,0.6969175057410352
estresse_pre_dencun_2024,sensitivity,insertion,c_completa,AE,AE:c_completa,0.01,4,3,0.75,0.012145748987854251,1.126518218623482
estresse_pre_dencun_2024,sensitivity,insertion,c_completa,AE,AE:c_completa,0.05,19,16,0.8421052631578947,0.06477732793522267,1.2648625612614532
estresse_pre_dencun_2024,sensitivity,insertion,c_completa,AE,AE:c_completa,0.1,38,27,0.7105263157894737,0.10931174089068826,1.0672277860643513
estresse_pre_dencun_2024,sensitivity,displacement,c_completa,AE,AE:c_completa,0.01,8,1,0.125,0.0027397260273972603,0.25
estresse_pre_dencun_2024,sensitivity,displacement,c_completa,AE,AE:c_completa,0.05,37,12,0.32432432432432434,0.03287671232876712,0.6486486486486487
estresse_pre_dencun_2024,sensitivity,displacement,c_completa,AE,AE:c_completa,0.1,73,22,0.3013698630136986,0.06027397260273973,0.6027397260273972
estresse_pre_dencun_2024,strict,all,c_completa,IF,IF:c_completa,0.01,5,3,0.6,0.011194029850746268,0.9246268656716418
estresse_pre_dencun_2024,strict,all,c_completa,IF,IF:c_completa,0.05,21,11,0.5238095238095238,0.041044776119402986,0.8072139303482587
estresse_pre_dencun_2024,strict,all,c_completa,IF,IF:c_completa,0.1,42,29,0.6904761904761905,0.10820895522388059,1.0640547263681592
estresse_pre_dencun_2024,strict,insertion,c_completa,IF,IF:c_completa,0.01,4,4,1.0,0.016194331983805668,1.5020242914979758
estresse_pre_dencun_2024,strict,insertion,c_completa,IF,IF:c_completa,0.05,19,19,1.0,0.07692307692307693,1.5020242914979758
estresse_pre_dencun_2024,strict,insertion,c_completa,IF,IF:c_completa,0.1,38,38,1.0,0.15384615384615385,1.5020242914979758
estresse_pre_dencun_2024,strict,displacement,c_completa,IF,IF:c_completa,0.01,1,0,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,displacement,c_completa,IF,IF:c_completa,0.05,3,0,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,displacement,c_completa,IF,IF:c_completa,0.1,5,0,0.0,0.0,0.0
estresse_pre_dencun_2024,sensitivity,all,c_completa,IF,IF:c_completa,0.01,12,7,0.5833333333333334,0.011437908496732025,1.0494281045751634
estresse_pre_dencun_2024,sensitivity,all,c_completa,IF,IF:c_completa,0.05,56,37,0.6607142857142857,0.06045751633986928,1.1886379551820727
estresse_pre_dencun_2024,sensitivity,all,c_completa,IF,IF:c_completa,0.1,111,72,0.6486486486486487,0.11764705882352941,1.1669316375198728
estresse_pre_dencun_2024,sensitivity,insertion,c_completa,IF,IF:c_completa,0.01,4,4,1.0,0.016194331983805668,1.5020242914979758
estresse_pre_dencun_2024,sensitivity,insertion,c_completa,IF,IF:c_completa,0.05,19,19,1.0,0.07692307692307693,1.5020242914979758
estresse_pre_dencun_2024,sensitivity,insertion,c_completa,IF,IF:c_completa,0.1,38,38,1.0,0.15384615384615385,1.5020242914979758
estresse_pre_dencun_2024,sensitivity,displacement,c_completa,IF,IF:c_completa,0.01,8,3,0.375,0.00821917808219178,0.75
estresse_pre_dencun_2024,sensitivity,displacement,c_completa,IF,IF:c_completa,0.05,37,15,0.40540540540540543,0.0410958904109589,0.8108108108108109
estresse_pre_dencun_2024,sensitivity,displacement,c_completa,IF,IF:c_completa,0.1,73,30,0.410958904109589,0.0821917808219178,0.821917808219178
estresse_pre_dencun_2024,strict,all,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.01,5,2,0.4,0.007462686567164179,0.6164179104477612
estresse_pre_dencun_2024,strict,all,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.05,21,6,0.2857142857142857,0.022388059701492536,0.44029850746268656
estresse_pre_dencun_2024,strict,all,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.1,42,19,0.4523809523809524,0.0708955223880597,0.697139303482587
estresse_pre_dencun_2024,strict,insertion,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.01,4,3,0.75,0.012145748987854251,1.126518218623482
estresse_pre_dencun_2024,strict,insertion,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.05,19,12,0.631578947368421,0.048582995951417005,0.9486469209460899
estresse_pre_dencun_2024,strict,insertion,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.1,38,26,0.6842105263157895,0.10526315789473684,1.027700831024931
estresse_pre_dencun_2024,strict,displacement,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.01,1,0,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,displacement,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.05,3,0,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,displacement,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.1,5,0,0.0,0.0,0.0
estresse_pre_dencun_2024,sensitivity,all,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.01,12,5,0.4166666666666667,0.008169934640522876,0.7495915032679739
estresse_pre_dencun_2024,sensitivity,all,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.05,56,27,0.48214285714285715,0.04411764705882353,0.8673844537815126
estresse_pre_dencun_2024,sensitivity,all,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.1,111,52,0.46846846846846846,0.08496732026143791,0.8427839604310192
estresse_pre_dencun_2024,sensitivity,insertion,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.01,4,3,0.75,0.012145748987854251,1.126518218623482
estresse_pre_dencun_2024,sensitivity,insertion,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.05,19,12,0.631578947368421,0.048582995951417005,0.9486469209460899
estresse_pre_dencun_2024,sensitivity,insertion,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.1,38,26,0.6842105263157895,0.10526315789473684,1.027700831024931
estresse_pre_dencun_2024,sensitivity,displacement,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.01,8,3,0.375,0.00821917808219178,0.75
estresse_pre_dencun_2024,sensitivity,displacement,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.05,37,13,0.35135135135135137,0.03561643835616438,0.7027027027027027
estresse_pre_dencun_2024,sensitivity,displacement,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,0.1,73,30,0.410958904109589,0.0821917808219178,0.821917808219178
estresse_pre_dencun_2024,strict,all,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.01,5,0,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,all,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.05,21,7,0.3333333333333333,0.026119402985074626,0.513681592039801
estresse_pre_dencun_2024,strict,all,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.1,42,21,0.5,0.07835820895522388,0.7705223880597015
estresse_pre_dencun_2024,strict,insertion,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.01,4,4,1.0,0.016194331983805668,1.5020242914979758
estresse_pre_dencun_2024,strict,insertion,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.05,19,19,1.0,0.07692307692307693,1.5020242914979758
estresse_pre_dencun_2024,strict,insertion,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.1,38,34,0.8947368421052632,0.13765182186234817,1.3439164713402942
estresse_pre_dencun_2024,strict,displacement,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.01,1,0,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,displacement,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.05,3,0,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,displacement,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.1,5,0,0.0,0.0,0.0
estresse_pre_dencun_2024,sensitivity,all,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.01,12,2,0.16666666666666666,0.0032679738562091504,0.29983660130718953
estresse_pre_dencun_2024,sensitivity,all,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.05,56,25,0.44642857142857145,0.04084967320261438,0.8031337535014006
estresse_pre_dencun_2024,sensitivity,all,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.1,111,55,0.4954954954954955,0.08986928104575163,0.8914061119943473
estresse_pre_dencun_2024,sensitivity,insertion,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.01,4,4,1.0,0.016194331983805668,1.5020242914979758
estresse_pre_dencun_2024,sensitivity,insertion,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.05,19,19,1.0,0.07692307692307693,1.5020242914979758
estresse_pre_dencun_2024,sensitivity,insertion,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.1,38,34,0.8947368421052632,0.13765182186234817,1.3439164713402942
estresse_pre_dencun_2024,sensitivity,displacement,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.01,8,0,0.0,0.0,0.0
estresse_pre_dencun_2024,sensitivity,displacement,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.05,37,11,0.2972972972972973,0.030136986301369864,0.5945945945945946
estresse_pre_dencun_2024,sensitivity,displacement,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.1,73,31,0.4246575342465753,0.08493150684931507,0.8493150684931506
estresse_pre_dencun_2024,strict,all,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.01,5,2,0.4,0.007462686567164179,0.6164179104477612
estresse_pre_dencun_2024,strict,all,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.05,21,4,0.19047619047619047,0.014925373134328358,0.2935323383084577
estresse_pre_dencun_2024,strict,all,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.1,42,16,0.38095238095238093,0.05970149253731343,0.5870646766169154
estresse_pre_dencun_2024,strict,insertion,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.01,4,0,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,insertion,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.05,19,10,0.5263157894736842,0.04048582995951417,0.7905391007884083
estresse_pre_dencun_2024,strict,insertion,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.1,38,23,0.6052631578947368,0.0931174089068826,0.9091199659066695
estresse_pre_dencun_2024,strict,displacement,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.01,1,0,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,displacement,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.05,3,1,0.3333333333333333,0.047619047619047616,0.6666666666666666
estresse_pre_dencun_2024,strict,displacement,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.1,5,2,0.4,0.09523809523809523,0.8
estresse_pre_dencun_2024,sensitivity,all,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.01,12,6,0.5,0.00980392156862745,0.8995098039215687
estresse_pre_dencun_2024,sensitivity,all,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.05,56,24,0.42857142857142855,0.0392156862745098,0.7710084033613445
estresse_pre_dencun_2024,sensitivity,all,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.1,111,41,0.36936936936936937,0.06699346405228758,0.6645027380321498
estresse_pre_dencun_2024,sensitivity,insertion,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.01,4,0,0.0,0.0,0.0
estresse_pre_dencun_2024,sensitivity,insertion,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.05,19,10,0.5263157894736842,0.04048582995951417,0.7905391007884083
estresse_pre_dencun_2024,sensitivity,insertion,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.1,38,23,0.6052631578947368,0.0931174089068826,0.9091199659066695
estresse_pre_dencun_2024,sensitivity,displacement,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.01,8,4,0.5,0.010958904109589041,1.0
estresse_pre_dencun_2024,sensitivity,displacement,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.05,37,21,0.5675675675675675,0.057534246575342465,1.135135135135135
estresse_pre_dencun_2024,sensitivity,displacement,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.1,73,33,0.4520547945205479,0.09041095890410959,0.9041095890410958
estresse_pre_dencun_2024,strict,all,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.01,5,2,0.4,0.007462686567164179,0.6164179104477612
estresse_pre_dencun_2024,strict,all,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.05,21,8,0.38095238095238093,0.029850746268656716,0.5870646766169154
estresse_pre_dencun_2024,strict,all,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.1,42,21,0.5,0.07835820895522388,0.7705223880597015
estresse_pre_dencun_2024,strict,insertion,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.01,4,4,1.0,0.016194331983805668,1.5020242914979758
estresse_pre_dencun_2024,strict,insertion,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.05,19,18,0.9473684210526315,0.0728744939271255,1.422970381419135
estresse_pre_dencun_2024,strict,insertion,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.1,38,32,0.8421052631578947,0.12955465587044535,1.2648625612614532
estresse_pre_dencun_2024,strict,displacement,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.01,1,0,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,displacement,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.05,3,0,0.0,0.0,0.0
estresse_pre_dencun_2024,strict,displacement,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.1,5,0,0.0,0.0,0.0
estresse_pre_dencun_2024,sensitivity,all,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.01,12,4,0.3333333333333333,0.006535947712418301,0.5996732026143791
estresse_pre_dencun_2024,sensitivity,all,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.05,56,27,0.48214285714285715,0.04411764705882353,0.8673844537815126
estresse_pre_dencun_2024,sensitivity,all,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.1,111,56,0.5045045045045045,0.0915032679738562,0.9076134958487899
estresse_pre_dencun_2024,sensitivity,insertion,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.01,4,4,1.0,0.016194331983805668,1.5020242914979758
estresse_pre_dencun_2024,sensitivity,insertion,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.05,19,18,0.9473684210526315,0.0728744939271255,1.422970381419135
estresse_pre_dencun_2024,sensitivity,insertion,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.1,38,32,0.8421052631578947,0.12955465587044535,1.2648625612614532
estresse_pre_dencun_2024,sensitivity,displacement,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.01,8,1,0.125,0.0027397260273972603,0.25
estresse_pre_dencun_2024,sensitivity,displacement,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.05,37,11,0.2972972972972973,0.030136986301369864,0.5945945945945946
estresse_pre_dencun_2024,sensitivity,displacement,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.1,73,31,0.4246575342465753,0.08493150684931507,0.8493150684931506
transicao_dencun_2024,strict,all,a_completa,AE,AE:a_completa,0.01,2,2,1.0,0.023255813953488372,1.5116279069767442
transicao_dencun_2024,strict,all,a_completa,AE,AE:a_completa,0.05,7,6,0.8571428571428571,0.06976744186046512,1.2956810631229236
transicao_dencun_2024,strict,all,a_completa,AE,AE:a_completa,0.1,13,10,0.7692307692307693,0.11627906976744186,1.1627906976744187
transicao_dencun_2024,strict,insertion,a_completa,AE,AE:a_completa,0.01,2,2,1.0,0.023529411764705882,1.5058823529411764
