split,tx_hash,roles,attack_types,event_keys,event_count,strict_label,strict_conflict,sensitivity_label,sensitivity_conflict,reference_scope
estresse_pre_dencun_2024,0x01f07fde001ddb98cd5b811a304e3dedd437fb19b31d7478bb4d7e3ef46db6d6,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2000|estresse_pre_dencun_2024::semantic__displacement__2001,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x026776186a5c8b6f27eb7ced9c0bbc73291cfa58921d53f1adcfce5cf03fca77,attacker_front,insertion,estresse_pre_dencun_2024::semantic__insertion__3941,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0269230945c8d483bd715e77a1f894735821cea996ae1b00440a00032db94126,attacker_back,insertion,estresse_pre_dencun_2024::semantic__insertion__6548,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0273a48e4e95645cc7ea17b42245418166c72c2b13a1a9139b7607781895ceb3,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__2183,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x02b2f6570bc5530186ac98524a744198739dea18958fb732c60b06cfcf8e3e76,attacker_back,insertion,estresse_pre_dencun_2024::semantic__insertion__251,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x033dda60e1a01b316888d3431709103f106c2b0526ec045da0d04cec50a177f8,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__7274,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x03587279bfd59000b3ab12f1d748f16bbbce93dc9fbfff85b5c22a19ea4c4804,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__6977,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x03a0ee78df980fa2ac4fa720c2e8bf9e2571c81143dd98783f07d60c17e734ad,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__3736|estresse_pre_dencun_2024::semantic__displacement__3738,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x03a41112226e51d83de539c0c24c477a799a9fa18d1d0327458e64069ffbd637,attacker_front,insertion,estresse_pre_dencun_2024::semantic__insertion__8277,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0416b674e9cee08e5a1dd88e00f7ee3a469f057e8e3c56830a92140e05235f68,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__3144,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x04ba716581494a168406874c5c53e541a8597f7eb3c378ff84af4db3d3228834,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2768,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x04fc9746ebd52dc60c71c23c3136f079cffc521b3fcd4c238406658d2664c628,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__8440,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x050054e336ed850e907a4aa62d99d66a99a9ad95a42c0dd5b38d6518eccecc25,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__1990,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0545a9e9b0d048d76fd7194937444bf4a63828e6836842ad3cc34093da4dbd2e,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2036|estresse_pre_dencun_2024::semantic__displacement__2039,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x055b8278cfb9c3019805ffcf5762be3834dee10be1621caec9fad5007367c8c2,attacker_back,insertion,estresse_pre_dencun_2024::semantic__insertion__2553,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0560698e5990978ecf30f4b100c147e618302817ab910723e8be51b962423299,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__3909,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x056a095de49a539521c9db9987b59c39861ffa583bc300a1e931943cb54bf761,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__8674,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x060c19528c9f593ab45a6ae6dc17e53cea76e33f9b7bfbfbd00b0e72e0bc7ae4,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__8700,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x06512308f5e258742ed2f9f861177cb30fbf5773bd5a215294e733f549f1dcf6,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__2177,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x06bbed4c755614051bbdcd84423fe6a8cf4ca5562e80687f586d1e4f89e94960,attacker_front,insertion,estresse_pre_dencun_2024::semantic__insertion__17,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x06c3337b6bceb33969458c1f59af0c44abfb9744d40db3fe38b018ec8091a89a,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__8523,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x06dd41b276e5ebb7fc17f5b95e6fec8b608fe5b399cc319f7485d61f53196586,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__1555|estresse_pre_dencun_2024::semantic__displacement__1556,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x06e934f37a6802833ca995f4df62ecc16dc3dc208c541777cb388af7acc290fe,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__4634,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x072605362cacd815fe6c16de057e32dc6970f33c985185231a82ba4a90390102,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__5931,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0737c9ac1a8a259350bcaf2017b8a3b45ed0f7a33dd1b97aeeaa6936e82a2316,attacker_back,insertion,estresse_pre_dencun_2024::semantic__insertion__9317,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x074bfd81697b1b5ccb5e4888eda3bebb9804579093523b3e06ad775d51bafdae,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__6083,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0757a7015ce0de5d65fbab33a62daebe4328fd27d5297e6421f70f9ec7ebb9c5,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__4545|estresse_pre_dencun_2024::semantic__displacement__4546,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x076697618433da2f75b107790ed663fe16560e2e6d4612ab14e69ed17cfcdc16,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2032|estresse_pre_dencun_2024::semantic__displacement__2034,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x0770ff549a42c3727575e62bfc01bf4d1c37064de1a08d6c1956b50355354da9,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__8293,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x078149f870213843ceb0cd69d0bba182e80cc11ca1715f47fb8db13416bf57a5,victim,insertion,estresse_pre_dencun_2024::semantic__insertion__2720,1,0,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x07a71fa93f73fad7ef169e0d65c08ce377c181688e4ff102b520484b5a4f1730,victim,insertion,estresse_pre_dencun_2024::semantic__insertion__9218,1,0,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x07ec525cd35d0e9e94d09f9c07cd7187cad5dc494815e22f97994579ffc8465f,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__2425,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0800304a74d24206b6a3b0f225002e0cde3dcf341fcd1f3af987458ae5efcf8d,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__8380,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0848b0fd8e10ddf79cfb2f31177dc819b3454713b4e73c6077d5b1268e265028,attacker_front,insertion,estresse_pre_dencun_2024::semantic__insertion__9249,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x08a2e99b3f6cc9e0b80e9884e8988befcdfa17a6111089dd06da2d9a8fff351e,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2754,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x08f99d319d27964fbcf53aa64698395b6f8c34c61bb60a4643f93aa6344a084d,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__6083,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x09015643dab7743d0278c3475bf3864e0f69d8524b7aa5e22fba807d929d3019,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__8317,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0939047fdf2489909d6bbf2da552f557573ca07823ed6bfb3b4c75611091e87c,attacker_back,insertion,estresse_pre_dencun_2024::semantic__insertion__5209,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x09390f47a30c9d3dec9036e7bccd531d173d1697a7ea82135fa5092271e272a9,attacker_back,insertion,estresse_pre_dencun_2024::semantic__insertion__4293,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x094a4331a6f58a63d3db5d9647b6e3c4cf928f5a94c9f9f8185c4e50795d882d,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__8454,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x09c83f245baf99d3ad99295efed85ae76f8a68c19f8c78f84f24b30051b3a117,victim,insertion,estresse_pre_dencun_2024::semantic__insertion__6031,1,0,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x09d0786eaace1249706dddc12bc5ca8c9fab2f681d52a513e8e1a2679e78d605,attacker_front,insertion,estresse_pre_dencun_2024::semantic__insertion__1681,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0a0eb64e7e442aaee93633cba07b2caeae12bc7493662f198fe0b7ae8ac9e448,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__7611,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0a2fa19c1fd17c1c91bf03323cac78445925ff1b61b2032bd67fa6c37ef780ac,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__3721,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0a6c50fc16908a15d90dbaf32f16120a07be61260f67b287475043a2c74a3535,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__5313,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0a85e8cc2188f4a65ca91d21c527935c061eb977e16c2fe3c95d8283224fecff,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2052,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0a861063d8904b2a79b8bf3076e8103ba7cf91771333a4ca9bc75c80a196670f,attacker_front,insertion,estresse_pre_dencun_2024::semantic__insertion__8168,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0ab78b7a862f6bb179e4c471a237c43e3ab2596194755561462c9720faa411b6,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__168,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0ab971921ad3f85bb744876c484e100eb4d6d1e6a7525596dded7285e208e9da,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__166,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0ac6d140f8d490fb98c9add4fd8816d09a7c836fc7ae9ad198f73278ad309747,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__6936,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0afa6e406837882913ecffa13bb636977153cc6bc0f4268c59938e9ae5d9e5e4,victim,insertion,estresse_pre_dencun_2024::semantic__insertion__3550,1,0,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0b341bb6340433209588de0068672f4b715473140a6fecaccb6df541bec2b539,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__6993,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0b3749881e26b5108a08f59f79a087601de53d82d287debfc61128d1a71a583a,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__9085,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0bbf54d2a7ca6d6eea830bdf953d21565e21463bce59557ab8f388d519e0f9e9,attacker_back,insertion,estresse_pre_dencun_2024::semantic__insertion__9370,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0bfc90aab35fa8e9760e24a1c90fd2423c5e88c275373ca41e06c10195427cc5,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2123,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0c38f2b019d123ff6e09861a2562ee8e6016ac10bd3af42670ad81c6e6905012,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__5050,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0c8fbb07988955a407eb4c2b5a97f724af5be549bf486cc4947e71dd49446595,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__7587|estresse_pre_dencun_2024::semantic__displacement__7589,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x0cc31dfb2caa4b4212c19e511ed004d89dce1cf57e24435172185c4f91240c81,attacker_back,insertion,estresse_pre_dencun_2024::semantic__insertion__2739,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0cdb5114234e9c73d729f0cc6dab12b14cda53bf14b4c999c220bc8cb0265c43,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__8523,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0ce90e51c98ab2c65849afecaa32179a9002967dddd2d322d8bd4f81376dc3a6,attacker_back,insertion,estresse_pre_dencun_2024::semantic__insertion__8839,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0d71b605a3bca0a8e2314e2b3f7d786ec40a088b64d4b422861b8960057624f7,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__3715,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0da648399e3c5cb160972c6ff8f8766bfe81c1f50a5e6c90833a2880d368ddc8,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__6923|estresse_pre_dencun_2024::semantic__displacement__6925,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x0dac97667649f75684128a41f3ec2b201f3748f3a87cc04bc874a0db776ec98b,attacker_front,insertion,estresse_pre_dencun_2024::semantic__insertion__1927,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0dc418374c723a0a8c13e3dadc2046bdfce09897410105dde6273bbda1c3dcbd,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2025,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0dd3e2c7166370031c898bbbef47108d227817b502f6ff67548d48ab4f240937,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__1964,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0e9e2df2014cd9a6f1e4055151c8e957217e99812e351a64cc16ef454c8b0662,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2089|estresse_pre_dencun_2024::semantic__displacement__2092,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x0ebe3b9f7d7978488de1f7322999c3e78c1338f17d14cba4db90d1ee9da8fc5c,attacker_front,insertion,estresse_pre_dencun_2024::semantic__insertion__4872,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0f49b1b54c79c25ac4bbe6ef6256f3fc44454411659960db02c5b523472ff2ba,victim,insertion,estresse_pre_dencun_2024::semantic__insertion__244,1,0,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0f8b2c3fe85d95d82459a7137f00f793ab4f2f1aad8b393803e1df2f39b7dfdd,attacker_back,insertion,estresse_pre_dencun_2024::semantic__insertion__244,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x0fea72570cad1640298b6c903a7e565f81912a643f3f6e301488b0a79ad2477c,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__7469,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x1002e5a6fadb7adf47fdcbe1562e2aa2e15631915550483dc5b0986136bad458,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__7912,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x103652ae01e2c7a7188a8a8b8827136bbe3eb9d54bbc38a1eabade480f3f30ef,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__2522,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x105db3fa939d30e8674b70525e4155261dfc4c2e1b109d6c9091e8e4d08505fe,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__7010,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x10d400d55734a84ed416c7af221609ade7c9f1036ef874c30ff3380e887b0885,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__1974,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x10e444a939970e8c96bc6286ddd0ff7f55679361fe347af8fbf2eb38802c4ac7,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__9166,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x10f9a990a55291445c75e8e21aed558c1cd681a377e1028d7af1acdfbfb4861b,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__8792,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x113b93aeb65f4754ef08a807d04e9c27fb1ef05292c84f14cffde7abef49a1d4,attacker_front,insertion,estresse_pre_dencun_2024::semantic__insertion__890,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x114ebb10646a76170a057f02e4f85244588fecc92a40d5d1aadd473d47119772,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__2052,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x116d9f3d7f13fbbe658ae10dd167f6435d260bc242ae610596c1bb9203424081,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__1676,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x11a35737f212667400f922f966127b694247989ad99594db0754880bf1405d59,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__7589,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x1205f9b4bfbf73cd809213528d96d47f60a6ba905c8228dac030d1a432db633f,attacker_front,insertion,estresse_pre_dencun_2024::semantic__insertion__352,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x12105658a271e152d19b57a29c5b8f8cb0dbac9183e6664f779d0313a02c7a98,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__7689,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x12634f16a728b860aea5f317d3fda3d87656bb5503699668532813c68df15f20,victim,insertion,estresse_pre_dencun_2024::semantic__insertion__4872,1,0,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x135944ce4381623119047ae9adaa0838c45a1f4dd770d3aba71c5ea1d73a913c,victim,insertion,estresse_pre_dencun_2024::semantic__insertion__3027,1,0,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x135d6f0367fd63aaabedb7b8d9ff99ed56951f8e0d43682c70d27fa9e8b5255e,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__4024,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x139843c9e6982aa04e6392a3de30b967152695ce4754d00425749aec119c57b5,victim,insertion,estresse_pre_dencun_2024::semantic__insertion__6418,1,0,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x13eaa5f053bcd17e832d357bdcf9ff4dda55d0c66bfd5ab25c449258f66fceb4,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__7334,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x1406f7d836a50008171bbf368352139859affa83222dc588724b7721171547f2,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__343,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x146152162e3d116ac42c86b9a2634be0321dbee26a49c371f4086c1034e7f05f,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__3167,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x1478f79b402a7a4f589f53aedc2d2f6c3530d6af0898c5e31e123e5e8cbf5e17,attacker_front,insertion,estresse_pre_dencun_2024::semantic__insertion__4292,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x14954c460a67a7414bc2f6346e3157cda6233558c4a9ce541b8b30d1353f914c,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__3875,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x14a8a82c100b515b1ee548a15899fe4463532a12dc81580497728cf898f68cf2,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__7444,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x14cc686fe606cf9378cd3b0dbe9390e3d32759aee6e28d7cf0ed6ab739b013de,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2034|estresse_pre_dencun_2024::semantic__displacement__2036,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x14d7c1adb608c2c7243c0fa50e0876133f8301b0103e3bfe8e07a09161907d65,attacker_front,insertion,estresse_pre_dencun_2024::semantic__insertion__6407,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x14ded8a0713e04ff3a62cea5b77945184671b72d4f160b43455c55b4602a3f7f,victim,insertion,estresse_pre_dencun_2024::semantic__insertion__7106,1,0,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x15101a86503b480402db9e6feeb1feb50e393ff3e64bf6f16152559d828da7b9,attacker_back,insertion,estresse_pre_dencun_2024::semantic__insertion__177,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x153004959973a830e249b46b28b9cf52e58ce70719366326a82425c079260ad6,attacker_back,insertion,estresse_pre_dencun_2024::semantic__insertion__9249,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x15ac72f5fafa0c7422f18c30c2d4b649f9b33715c0f883c53323e8e27a423e26,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__8708,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x15bd255056eb14ace115f3f70ec4f52c6336300f314608ff96122e8d10f6783a,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__2398,1,1,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x15c7cb9f1f3b15541ac9e4b193c0557a78e999a9d658b7bd9044207f1be2597c,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__2154,1,,0,1,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x15f3413354dbf091eb1eb1d71fd3bc3813ee3f50d693b702bf3f216f674a5c74,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2085,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x16128b656318e17ee655d36b11be4a1e5600bbafd8f36086d87a89e094061a0a,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__6552,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x161988ffa1897ee340873678ed0078f523ec95a7851b9b92d2f705c939a6fad7,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__6949,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x167b09eb5e80cc77cbe04729ff9998399ccaf8445a977546d16591e0f4225933,victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2519,1,,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x167b7c7b9a6398448b3f3e3a6073e3e1697ee0a70d58dd44aded87834bb16b12,victim,insertion,estresse_pre_dencun_2024::semantic__insertion__2881,1,0,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x16e9a34315221628ccee65919e97bb174de74569d43e2d2bf78c9de3bf97c24a,victim,insertion,estresse_pre_dencun_2024::semantic__insertion__6548,1,0,0,0,0,semantic_event_roles_only
estresse_pre_dencun_2024,0x1765be2cfd4d0a14f476e422fe5c0e11b3c48d48de3b0652b65ea78af7e75f59,attacker_front,displacement,estresse_pre_dencun_2024::semantic__displacement__916,1,,0,1,0,semantic_event_roles_only
