event_key,audit_id,detection_event_id,split,source_detector,adjudicated_type,semantic_status,decision,evidence_quality,reason_codes,notes,reviewer,reviewed_at_utc,decision_source,validation_result,attacker_front_hash,attacker_back_hash,victim_hash,protocols,pool_addresses,economic_status,strict_positive_event,sensitivity_positive_event
estresse_pre_dencun_2024::semantic__insertion__243,semantic__insertion__243,243,estresse_pre_dencun_2024,insertion,insertion,confirmed,confirmado,alta,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|fluxo_econômico_compatível|weth_superior_ao_gás,"Sandwich confirmado no evento 243: índices 8 < 9 < 10, mesmo agente nas pernas externas, pool 0x80c7770b4399ae22149db17e97f9fc8a10ca5100 (uniswap_v3), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Superávit observável de 0.000091112 WETH após 0.018131194 ETH de gás. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0xd11683478e2d41444c449ba6563f699ba6a48f14f59164cf41f50b3fdad1a834,0xd4176308fbd06b1ca177217fa14d32241687ef79c4ec6224f250483db164a150,0xaab1354fe3d6e7466cc55d021416a1d564e518e44c81f8427fb171d84d07dbef,uniswap_v3,0x80c7770b4399ae22149db17e97f9fc8a10ca5100,weth_surplus_after_gas_observed,1,1
estresse_pre_dencun_2024::semantic__insertion__244,semantic__insertion__244,244,estresse_pre_dencun_2024,insertion,insertion,confirmed,confirmado,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|múltiplos_ativos_sem_valoração,"Sandwich confirmado no evento 244: índices 86 < 87 < 88, mesmo agente nas pernas externas, pool 0xec2061372a02d5e416f5d8905eea64cab2c10970 (uniswap_v3), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Há múltiplos ativos residuais; a rentabilidade líquida ainda exige valoração. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x383f42ba921f0e58c3a61ceab883b7842a249b0ca49b2a14744b774a2e79382e,0x0f8b2c3fe85d95d82459a7137f00f793ab4f2f1aad8b393803e1df2f39b7dfdd,0x0f49b1b54c79c25ac4bbe6ef6256f3fc44454411659960db02c5b523472ff2ba,uniswap_v3,0xec2061372a02d5e416f5d8905eea64cab2c10970,mixed_assets_requires_valuation,1,1
estresse_pre_dencun_2024::semantic__insertion__251,semantic__insertion__251,251,estresse_pre_dencun_2024,insertion,insertion,confirmed,confirmado,alta,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|fluxo_econômico_compatível|weth_superior_ao_gás,"Sandwich confirmado no evento 251: índices 0 < 1 < 2, mesmo agente nas pernas externas, pool 0xc64350c0eab6faed8f17cc2cdff0761c53fb4152 (uniswap_v3), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Superávit observável de 0.000223447 WETH após 0.047962953 ETH de gás. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0xb2f08e32cea53616c88915d4f0e3c0272d021106702f6737f6a68292f82b8947,0x02b2f6570bc5530186ac98524a744198739dea18958fb732c60b06cfcf8e3e76,0x8b9d48ac1c2ebc41a4a55824263e5ece5063fcb5f25d00fed864fd09de481e15,uniswap_v3,0xc64350c0eab6faed8f17cc2cdff0761c53fb4152,weth_surplus_after_gas_observed,1,1
estresse_pre_dencun_2024::semantic__insertion__281,semantic__insertion__281,281,estresse_pre_dencun_2024,insertion,insertion,confirmed,confirmado,alta,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|fluxo_econômico_compatível|weth_superior_ao_gás,"Sandwich confirmado no evento 281: índices 0 < 1 < 2, mesmo agente nas pernas externas, pool 0xc09bf2b1bc8725903c509e8caeef9190857215a8 (uniswap_v2), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Superávit observável de 0.007083911 WETH após 0.007083911 ETH de gás. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x4946984cd980c7fe584004c3bd4908c9b719a71771665e09c744da18ccf16e69,0x6eec6154160adceed06ec56572cd445c800b03dcaa22fbed28710422caf08f6f,0x677bf10adb1fdc10b6f18c003145da41204970c689173819f36769b98068e14b,uniswap_v2,0xc09bf2b1bc8725903c509e8caeef9190857215a8,weth_surplus_after_gas_observed,1,1
estresse_pre_dencun_2024::semantic__displacement__343,semantic__displacement__343,343,estresse_pre_dencun_2024,displacement,displacement,probable,provável,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|chamada_idêntica,"Displacement provável no evento 343: atacante no índice 1 antes da vítima no índice 2, mesmo seletor, similaridade de calldata 1.000 e pool comum 0x0c4b53e2fe28d07355a987fbca103b914f4b0740. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x1406f7d836a50008171bbf368352139859affa83222dc588724b7721171547f2,,0x97a1b345cbbf5c55b625778aef824bfc423e3877b7c2098fae32d5e9d20df610,uniswap_v2,0x0c4b53e2fe28d07355a987fbca103b914f4b0740,requires_token_valuation,0,1
estresse_pre_dencun_2024::semantic__displacement__344,semantic__displacement__344,344,estresse_pre_dencun_2024,displacement,displacement,probable,provável,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|chamada_idêntica,"Displacement provável no evento 344: atacante no índice 2 antes da vítima no índice 3, mesmo seletor, similaridade de calldata 1.000 e pool comum 0x0c4b53e2fe28d07355a987fbca103b914f4b0740. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x97a1b345cbbf5c55b625778aef824bfc423e3877b7c2098fae32d5e9d20df610,,0xdc74c8a53f00b5952771e3c10f3b17da570491c038b727b91fface29698127be,uniswap_v2,0x0c4b53e2fe28d07355a987fbca103b914f4b0740,requires_token_valuation,0,1
estresse_pre_dencun_2024::semantic__insertion__352,semantic__insertion__352,352,estresse_pre_dencun_2024,insertion,insertion,confirmed,confirmado,alta,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|fluxo_econômico_compatível|weth_superior_ao_gás,"Sandwich confirmado no evento 352: índices 2 < 3 < 4, mesmo agente nas pernas externas, pool 0x0e8cc25eac180d68ff214bb9d4b2a043af764a28 (uniswap_v2), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Superávit observável de 0.004207220 WETH após 0.009828533 ETH de gás. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x1205f9b4bfbf73cd809213528d96d47f60a6ba905c8228dac030d1a432db633f,0x94dc4f7e5ec0cd38960080d3bc787648e2ceb8c4cbf2e052980415520e2e3d2b,0x7e3827a15fe64eca15c5a7c55ca8e8ce681ef5fc202bde783f7524a2309d00f3,uniswap_v2,0x0e8cc25eac180d68ff214bb9d4b2a043af764a28,weth_surplus_after_gas_observed,1,1
estresse_pre_dencun_2024::semantic__displacement__355,semantic__displacement__355,355,estresse_pre_dencun_2024,displacement,displacement,probable,provável,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool,"Displacement provável no evento 355: atacante no índice 18 antes da vítima no índice 19, mesmo seletor, similaridade de calldata 0.857 e pool comum 0x868dc789a5a5a13d25561624c7cc6710af1d4c11. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0xe8ee11b8cc558d1806f5496651254ef4088b605e1ab8d3dbfa23d2e00ce4481c,,0x5aa278d44f9797a7245c983e8fc6f73f0fec15952c549495b3c5c2e37129606f,uniswap_v2,0x868dc789a5a5a13d25561624c7cc6710af1d4c11,requires_token_valuation,0,1
estresse_pre_dencun_2024::semantic__insertion__360,semantic__insertion__360,360,estresse_pre_dencun_2024,insertion,insertion,confirmed,confirmado,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|múltiplos_ativos_sem_valoração,"Sandwich confirmado no evento 360: índices 0 < 1 < 2, mesmo agente nas pernas externas, pool 0x1c98562a2fab5af19d8fb3291a36ac3c618835d9 (uniswap_v3), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Há múltiplos ativos residuais; a rentabilidade líquida ainda exige valoração. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x57f23baf5e29972af5f2e4e2204731316826d4fab3d4f005760c2112728dc049,0x695c74f9d3eff9e6f2d4460df6fe6cc8f0ae58c17fcab143bda35fd3842908da,0xfca7bbbbe3272a46f9b601f0a0239be65db76212e006999957cae4bc0355adc1,uniswap_v3,0x1c98562a2fab5af19d8fb3291a36ac3c618835d9,mixed_assets_requires_valuation,1,1
estresse_pre_dencun_2024::semantic__displacement__373,semantic__displacement__373,373,estresse_pre_dencun_2024,displacement,displacement,probable,provável,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool,"Displacement provável no evento 373: atacante no índice 5 antes da vítima no índice 6, mesmo seletor, similaridade de calldata 0.938 e pool comum 0xce8448a3a6c91652e8a4e771c2a1289b7aff978d. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x014cfd5a4636538fbca9122e4d5c50267605e80461fb2b20549bad02a57b5d40,,0x9da9a56702ae8c0d1828af569e548299804c1d3aa074152fd3492270570761b6,uniswap_v2,0xce8448a3a6c91652e8a4e771c2a1289b7aff978d,requires_token_valuation,0,1
estresse_pre_dencun_2024::semantic__insertion__389,semantic__insertion__389,389,estresse_pre_dencun_2024,insertion,insertion,confirmed,confirmado,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|múltiplos_ativos_sem_valoração,"Sandwich confirmado no evento 389: índices 0 < 1 < 2, mesmo agente nas pernas externas, pool 0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b (uniswap_v3), front e vítima na mesma direção e back na direção oposta; as três transações foram executadas com sucesso. Há múltiplos ativos residuais; a rentabilidade líquida ainda exige valoração. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x56ffdaaa4ba351a69b6816a4fbd22b4d67cb960b56ce6ce20a6f2784da47ca35,0x41a7178cbca1670f6b6019f18b7b5a5dd8e6aa98a7c0e1f726351104334c1bdf,0xe0572f5f27b48691c7c5b9401cb924c84ec6a212cb73352c3d3c2e8525c990d0,uniswap_v3,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,mixed_assets_requires_valuation,1,1
estresse_pre_dencun_2024::semantic__displacement__439,semantic__displacement__439,439,estresse_pre_dencun_2024,displacement,displacement,probable,provável,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|chamada_idêntica,"Displacement provável no evento 439: atacante no índice 10 antes da vítima no índice 11, mesmo seletor, similaridade de calldata 1.000 e pool comum 0xde22888c4c809d9264ae8919801aa2906af73b9e. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x4298743278af0451b34719a14013b4ab46e597c6c761bbe614257d8acb630c9b,,0x323a89beb70129946b388ffc713375a9a191ef5223c69a2efdd6c58653360044,uniswap_v2,0xde22888c4c809d9264ae8919801aa2906af73b9e,requires_token_valuation,0,1
estresse_pre_dencun_2024::semantic__displacement__441,semantic__displacement__441,441,estresse_pre_dencun_2024,displacement,displacement,probable,provável,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|chamada_idêntica,"Displacement provável no evento 441: atacante no índice 13 antes da vítima no índice 14, mesmo seletor, similaridade de calldata 1.000 e pool comum 0xde22888c4c809d9264ae8919801aa2906af73b9e. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x82e6c1480530684772e898467d68ae30e75170ff54ad7907bb12424d22ccaad9,,0x1af9f3fa1feb18701e4b8aa708e4c538446672b911c94626c36237c12e6620e1,uniswap_v2,0xde22888c4c809d9264ae8919801aa2906af73b9e,requires_token_valuation,0,1
estresse_pre_dencun_2024::semantic__displacement__445,semantic__displacement__445,445,estresse_pre_dencun_2024,displacement,displacement,probable,provável,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|chamada_idêntica,"Displacement provável no evento 445: atacante no índice 16 antes da vítima no índice 17, mesmo seletor, similaridade de calldata 1.000 e pool comum 0xde22888c4c809d9264ae8919801aa2906af73b9e. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0xd392a1cbcfe442f827858936efe40125053f1bfee73895e27e09a2c5a6e0e558,,0xcbbe2040770ef2df63c598c8b407f34e31c7cece500f6a54631b5f09a43221fa,uniswap_v2,0xde22888c4c809d9264ae8919801aa2906af73b9e,requires_token_valuation,0,1
estresse_pre_dencun_2024::semantic__displacement__447,semantic__displacement__447,447,estresse_pre_dencun_2024,displacement,displacement,probable,provável,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|chamada_idêntica,"Displacement provável no evento 447: atacante no índice 17 antes da vítima no índice 18, mesmo seletor, similaridade de calldata 1.000 e pool comum 0xde22888c4c809d9264ae8919801aa2906af73b9e. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0xcbbe2040770ef2df63c598c8b407f34e31c7cece500f6a54631b5f09a43221fa,,0x9819a92713205da66cfdb004acafe548f4d6f9d56a482b92e6f94ff7139c6174,uniswap_v2,0xde22888c4c809d9264ae8919801aa2906af73b9e,requires_token_valuation,0,1
estresse_pre_dencun_2024::semantic__displacement__452,semantic__displacement__452,452,estresse_pre_dencun_2024,displacement,displacement,probable,provável,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|chamada_idêntica,"Displacement provável no evento 452: atacante no índice 23 antes da vítima no índice 24, mesmo seletor, similaridade de calldata 1.000 e pool comum 0xde22888c4c809d9264ae8919801aa2906af73b9e. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x6e309431f309526aee39037cfea6fc957a3bc93a7ef6ee4d70d199c186cfa71d,,0x8dd886506a2b6de90db482b7894624f1352099284b130ee2f5081cfe3cb81ba7,uniswap_v2,0xde22888c4c809d9264ae8919801aa2906af73b9e,requires_token_valuation,0,1
estresse_pre_dencun_2024::semantic__displacement__453,semantic__displacement__453,453,estresse_pre_dencun_2024,displacement,displacement,probable,provável,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool|chamada_idêntica,"Displacement provável no evento 453: atacante no índice 26 antes da vítima no índice 27, mesmo seletor, similaridade de calldata 1.000 e pool comum 0xde22888c4c809d9264ae8919801aa2906af73b9e. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0x41a7001dd5a52dded1a03c6408f8906c28ade784dcf9d9eefe00a502f5bc3c15,,0xd3e4b9c334b456a5760e2a0b7522b78970ffce29832074c68f59bbe3e0be2409,uniswap_v2,0xde22888c4c809d9264ae8919801aa2906af73b9e,requires_token_valuation,0,1
estresse_pre_dencun_2024::semantic__displacement__455,semantic__displacement__455,455,estresse_pre_dencun_2024,displacement,displacement,probable,provável,média,semântica_compatível|ordem_no_bloco_compatível|mesmo_pool,"Displacement provável no evento 455: atacante no índice 28 antes da vítima no índice 29, mesmo seletor, similaridade de calldata 0.857 e pool comum 0xde22888c4c809d9264ae8919801aa2906af73b9e. Status atacante=1 e vítima=1. Não há efeito adverso suficiente para confirmação estrita sem evidência adicional de mempool/causalidade. Decisão produzida pelo protocolo de adjudicação assistida.",Marcelo Corni Alves,2026-09-21T00:35:00.406610+00:00,assisted_deterministic,valid,0xf18379888b7ee31ba9471e5027c50afa7cde21ca857eeddc0d84e1f913393d38,,0x37159159667e9111719197a464714151ddf6b9dc6bace74a42c2baec27df519d,uniswap_v2,0xde22888c4c809d9264ae8919801aa2906af73b9e,requires_token_valuation,0,1
